time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,LinearTBNegotiator@1
0.024477292,0.5686274509803921,28,LinearTBNegotiator@1,"(4, 10, 7, 'basic')",{},continuing,,,0.7187363296218762,0.43386243386243384
0.025168417,0.5882352941176471,29,SmartAspirationNegotiator@0,"(8, 7, 9, 'basic')",{},continuing,,,0.888888888888889,0.18518518518518523
0.025168417,0.5882352941176471,29,LinearTBNegotiator@1,"(2, 5, 5, 'basic')",{},continuing,,,0.6980748216467904,0.41798941798941797
0.025868833,0.6078431372549019,30,SmartAspirationNegotiator@0,"(7, 7, 9, 'basic')",{},continuing,,,0.873015873015873,0.21164021164021166
0.025868833,0.6078431372549019,30,LinearTBNegotiator@1,"(8, 6, 9, 'premium')",{},continuing,,,0.7142857142857143,0.3968253968253968
0.02661875,0.6274509803921569,31,SmartAspirationNegotiator@0,"(6, 7, 9, 'basic')",{},continuing,,,0.8571428571428571,0.23809523809523814
0.02661875,0.6274509803921569,31,LinearTBNegotiator@1,"(0, 5, 8, 'basic')",{},continuing,,,0.7650553144418253,0.37566137566137564
0.027395292,0.6470588235294118,32,SmartAspirationNegotiator@0,"(5, 7, 9, 'basic')",{},continuing,,,0.8412698412698413,0.2645502645502646
0.027395292,0.6470588235294118,32,LinearTBNegotiator@1,"(8, 2, 7, 'premium')",{},continuing,,,0.7187363296218762,0.3544973544973545
0.028213667,0.6666666666666666,33,SmartAspirationNegotiator@0,"(9, 1, 9, 'premium')",{},continuing,,,0.8095238095238095,0.23809523809523808
0.028213667,0.6666666666666666,33,LinearTBNegotiator@1,"(9, 3, 0, 'basic')",{},continuing,,,0.46825396825396826,0.3386243386243386
0.029067542,0.6862745098039216,34,SmartAspirationNegotiator@0,"(9, 2, 9, 'premium')",{},continuing,,,0.7936507936507936,0.26455026455026454
0.029067542,0.6862745098039216,34,LinearTBNegotiator@1,"(7, 5, 4, 'basic')",{},continuing,,,0.738095238095238,0.31746031746031744
0.029956708,0.7058823529411765,35,SmartAspirationNegotiator@0,"(9, 4, 9, 'premium')",{'SmartAspirationNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.761904761904762,0.31746031746031744
