run_id,seed,profile_id,n_steps,strategy_buyer,strategy_seller,agreement,agreement_outcome,rounds,u_buyer,u_seller,welfare,frontier_optimal_welfare,pareto_distance,nash_distance,kalai_distance,ks_distance,money_left_on_table,welfare_regret,nash_gap
63,23,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,5,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
64,24,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
65,25,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
66,26,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
67,27,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
68,28,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
69,29,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
70,30,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
71,31,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
72,32,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
